scenario,date,cash,position_value,total_equity,turnover,cum_return
ma120_cash_top3,2025-12-24,1.533896997488848e-08,1032024.4739720916,1032024.473972107,0.0,0.0320244739721069
ma120_cash_top3,2025-12-25,1.533959567526624e-08,1033407.5415938086,1033407.541593824,0.0,0.0334075415938239
ma120_cash_top3,2025-12-26,1.5340221401167292e-08,1042432.635432967,1042432.6354329824,0.0,0.0424326354329822
ma120_cash_top3,2025-12-29,1.5342098732020584e-08,1037556.5167302516,1037556.5167302669,0.0,0.0375565167302669
ma120_cash_top3,2025-12-30,1.5342724560025202e-08,1046008.2659253364,1046008.2659253518,0.0,0.0460082659253517
ma120_cash_top3,2025-12-31,1.5343350413558314e-08,1045529.6725505828,1045529.6725505982,0.0,0.0455296725505982
ma120_cash_top3,2026-01-05,1.8067657947540286e-07,1071087.8471219535,1071087.8471221344,0.6726370970510305,0.0710878471221343
ma120_cash_top3,2026-01-06,1.8068394955332955e-07,1071815.627897186,1071815.6278973666,0.0,0.0718156278973667
ma120_cash_top3,2026-01-07,1.806913199318932e-07,1080259.4571989714,1080259.457199152,0.0,0.0802594571991521
ma120_cash_top3,2026-01-08,1.806986906111059e-07,1073955.4273745285,1073955.427374709,0.0,0.0739554273747089
ma120_cash_top3,2026-01-09,1.807060615909801e-07,1091558.4797865353,1091558.479786716,0.0,0.0915584797867159
ma120_cash_top3,2026-01-12,1.807281763346941e-07,1155661.5066690107,1155661.5066691914,0.0,0.1556615066691913
ma120_cash_top3,2026-01-13,1.8073554851733674e-07,1105114.262157039,1105114.2621572197,0.0,0.1051142621572196
ma120_cash_top3,2026-01-14,1.807429210007021e-07,1130349.5670204568,1130349.5670206374,0.0,0.1303495670206373
ma120_cash_top3,2026-01-15,1.8075029378480253e-07,1120873.2244911809,1120873.2244913615,0.0,0.1208732244913615
ma120_cash_top3,2026-01-16,1.8075766686965025e-07,1113956.1857722278,1113956.1857724085,0.0,0.1139561857724085
ma120_cash_top3,2026-01-19,2.3300526663661006e-07,1092304.6069491406,1092304.6069493736,2.005775052818053,0.0923046069493735
ma120_cash_top3,2026-01-20,2.3301477128285378e-07,1085841.1106178612,1085841.1106180942,0.0,0.0858411106180943
ma120_cash_top3,2026-01-21,2.330242763168068e-07,1111857.7043133928,1111857.7043136258,0.0,0.1118577043136257
ma120_cash_top3,2026-01-22,2.330337817384849e-07,1106653.970798109,1106653.970798342,0.0,0.106653970798342
ma120_cash_top3,2026-01-23,2.3304328754790386e-07,1139698.7830458512,1139698.7830460842,0.0,0.1396987830460843
ma120_cash_top3,2026-01-26,2.330718073027644e-07,1175749.1737714016,1175749.1737716347,0.0,0.1757491737716348
ma120_cash_top3,2026-01-27,2.330813146633051e-07,1175466.0364370712,1175466.0364373042,0.0,0.1754660364373041
ma120_cash_top3,2026-01-28,2.330908224116658e-07,1234156.2724449146,1234156.2724451476,0.0,0.2341562724451475
ma120_cash_top3,2026-01-29,2.331003305478623e-07,1238574.4664238477,1238574.4664240808,0.0,0.2385744664240807
ma120_cash_top3,2026-01-30,2.3310983907191045e-07,1150426.768302471,1150426.768302704,0.0,0.150426768302704
ma120_cash_top3,2026-02-02,1.1658994480967523e-07,1065448.1651564967,1065448.165156613,0.6769373346365396,0.0654481651566134
ma120_cash_top3,2026-02-03,1.1659470069436825e-07,1140423.7216647975,1140423.7216649144,0.0,0.1404237216649144
ma120_cash_top3,2026-02-04,1.1659945677306121e-07,1140434.6785981646,1140434.6785982812,0.0,0.1404346785982813
ma120_cash_top3,2026-02-05,1.1660421304576197e-07,1081386.1189994635,1081386.1189995804,0.0,0.0813861189995803
ma120_cash_top3,2026-02-06,1.1660896951247849e-07,1082511.2443341706,1082511.2443342872,0.0,0.0825112443342872
ma120_cash_top3,2026-02-09,1.1662324007680162e-07,1113551.9040514329,1113551.9040515495,0.0,0.1135519040515495
ma120_cash_top3,2026-02-10,1.1662799731966025e-07,1109130.567434268,1109130.5674343847,0.0,0.1091305674343847
ma120_cash_top3,2026-02-11,1.1663275475657421e-07,1123820.3708569796,1123820.3708570965,0.0,0.1238203708570961
ma120_cash_top3,2026-02-12,1.1663751238755137e-07,1141834.653301598,1141834.6533017147,0.0,0.1418346533017147
ma120_cash_top3,2026-02-13,1.1664227021259969e-07,1121601.146626643,1121601.1466267596,0.0,0.1216011466267594
